Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-03-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,43,0
2023-03-01T00:00:00,740,Cerius A/S - 740,3203,173
2023-03-01T00:00:00,757,Elektrus A/S,107,0
2023-03-01T00:00:00,791,Radius Elnet A/S,5329,210
2023-03-01T00:00:00,853,Cerius A/S - 853,41,0
2023-03-01T00:00:00,854,NKE-Elnet A/S,127,0
2023-03-01T00:00:00,860,Zeanet A/S,145,4
2023-03-01T00:00:00,911,TREFOR El-Net Øst A/S,106,3
2023-02-01T00:00:00,016,El-net Kongerslev A/S,6,0
2023-02-01T00:00:00,031,Nord Energi Net A/S,704,15
2023-02-01T00:00:00,042,Netselskabet Elværk A/S - 042,54,0
2023-02-01T00:00:00,051,Elinord A/S,107,1
2023-02-01T00:00:00,084,Kimbrer Elnet A/S,27,1
2023-02-01T00:00:00,085,Læsø Elnet A/S,16,0
2023-02-01T00:00:00,131,N1 A/S - 131,3404,51
2023-02-01T00:00:00,141,Hammel Elforsyning Net A/S,22,0
2023-02-01T00:00:00,151,Konstant Net A/S - 151,1068,8
2023-02-01T00:00:00,152,N1 A/S - 152,426,2
2023-02-01T00:00:00,154,Elnet Midt A/S,400,14
2023-02-01T00:00:00,233,Dinel A/S - 233,741,5
2023-02-01T00:00:00,244,TREFOR El-Net A/S,1079,7
2023-02-01T00:00:00,245,Konstant Net A/S - 245,412,4
2023-02-01T00:00:00,331,Netselskabet Elværk A/S - 331,141,3
2023-02-01T00:00:00,341,GEV Elnet A/S,27,0
2023-02-01T00:00:00,342,Ikast El Net A/S,73,0
2023-02-01T00:00:00,344,N1 A/S - 344,2342,25
2023-02-01T00:00:00,347,NOE Net A/S,159,1
2023-02-01T00:00:00,348,RAH Net A/S,334,11
2023-02-01T00:00:00,351,L-Net A/S,80,1
2023-02-01T00:00:00,357,Forsyning Elnet A/S,18,0
2023-02-01T00:00:00,370,Aal El-net A.m.b.a,17,0
2023-02-01T00:00:00,371,Hjerting Transformatorforening,16,0
2023-02-01T00:00:00,381,Hurup Elværk Net A/S,6,0
2023-02-01T00:00:00,384,Tarm Elværk Net A/S,12,0
2023-02-01T00:00:00,385,Videbæk Elnet A/S,12,0
2023-02-01T00:00:00,396,Sunds Net A.m.b.a,13,0
2023-02-01T00:00:00,398,N1 A/S - 398,6,1
2023-02-01T00:00:00,531,Ravdex A/S,90,0
2023-02-01T00:00:00,532,Veksel A/S,65,0
2023-02-01T00:00:00,533,FLOW Elnet A/S,276,4
2023-02-01T00:00:00,543,Vores Elnet A/S,1081,19
2023-02-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,42,1
